,Country/Region,Date,Value,Type,Diff,Week
0,Afghanistan,2020-01-22,0,Cases,,
1,Afghanistan,2020-01-23,0,Cases,0.0,
2,Afghanistan,2020-01-24,0,Cases,0.0,
3,Afghanistan,2020-01-25,0,Cases,0.0,
4,Afghanistan,2020-01-26,0,Cases,0.0,
5,Afghanistan,2020-01-27,0,Cases,0.0,
6,Afghanistan,2020-01-28,0,Cases,0.0,
7,Afghanistan,2020-01-29,0,Cases,0.0,0.0
8,Afghanistan,2020-01-30,0,Cases,0.0,0.0
9,Afghanistan,2020-01-31,0,Cases,0.0,0.0
10,Afghanistan,2020-02-01,0,Cases,0.0,0.0
11,Afghanistan,2020-02-02,0,Cases,0.0,0.0
12,Afghanistan,2020-02-03,0,Cases,0.0,0.0
13,Afghanistan,2020-02-04,0,Cases,0.0,0.0
14,Afghanistan,2020-02-05,0,Cases,0.0,0.0
15,Afghanistan,2020-02-06,0,Cases,0.0,0.0
16,Afghanistan,2020-02-07,0,Cases,0.0,0.0
17,Afghanistan,2020-02-08,0,Cases,0.0,0.0
18,Afghanistan,2020-02-09,0,Cases,0.0,0.0
19,Afghanistan,2020-02-10,0,Cases,0.0,0.0
20,Afghanistan,2020-02-11,0,Cases,0.0,0.0
21,Afghanistan,2020-02-12,0,Cases,0.0,0.0
22,Afghanistan,2020-02-13,0,Cases,0.0,0.0
23,Afghanistan,2020-02-14,0,Cases,0.0,0.0
24,Afghanistan,2020-02-15,0,Cases,0.0,0.0
25,Afghanistan,2020-02-16,0,Cases,0.0,0.0
26,Afghanistan,2020-02-17,0,Cases,0.0,0.0
27,Afghanistan,2020-02-18,0,Cases,0.0,0.0
28,Afghanistan,2020-02-19,0,Cases,0.0,0.0
29,Afghanistan,2020-02-20,0,Cases,0.0,0.0
30,Afghanistan,2020-02-21,0,Cases,0.0,0.0
31,Afghanistan,2020-02-22,0,Cases,0.0,0.0
32,Afghanistan,2020-02-23,0,Cases,0.0,0.0
33,Afghanistan,2020-02-24,1,Cases,1.0,1.0
34,Afghanistan,2020-02-25,1,Cases,0.0,1.0
35,Afghanistan,2020-02-26,1,Cases,0.0,1.0
36,Afghanistan,2020-02-27,1,Cases,0.0,1.0
37,Afghanistan,2020-02-28,1,Cases,0.0,1.0
38,Afghanistan,2020-02-29,1,Cases,0.0,1.0
39,Afghanistan,2020-03-01,1,Cases,0.0,1.0
40,Afghanistan,2020-03-02,1,Cases,0.0,0.0
41,Afghanistan,2020-03-03,1,Cases,0.0,0.0
42,Afghanistan,2020-03-04,1,Cases,0.0,0.0
43,Afghanistan,2020-03-05,1,Cases,0.0,0.0
44,Afghanistan,2020-03-06,1,Cases,0.0,0.0
45,Afghanistan,2020-03-07,1,Cases,0.0,0.0
46,Afghanistan,2020-03-08,4,Cases,3.0,3.0
47,Afghanistan,2020-03-09,4,Cases,0.0,3.0
48,Afghanistan,2020-03-10,5,Cases,1.0,4.0
49,Afghanistan,2020-03-11,7,Cases,2.0,6.0
50,Afghanistan,2020-03-12,7,Cases,0.0,6.0
51,Afghanistan,2020-03-13,7,Cases,0.0,6.0
52,Afghanistan,2020-03-14,11,Cases,4.0,10.0
53,Afghanistan,2020-03-15,16,Cases,5.0,12.0
54,Afghanistan,2020-03-16,21,Cases,5.0,17.0
55,Afghanistan,2020-03-17,22,Cases,1.0,17.0
56,Afghanistan,2020-03-18,22,Cases,0.0,15.0
57,Afghanistan,2020-03-19,22,Cases,0.0,15.0
58,Afghanistan,2020-03-20,24,Cases,2.0,17.0
59,Afghanistan,2020-03-21,24,Cases,0.0,13.0
60,Afghanistan,2020-03-22,40,Cases,16.0,24.0
61,Afghanistan,2020-03-23,40,Cases,0.0,19.0
62,Afghanistan,2020-03-24,74,Cases,34.0,52.0
63,Afghanistan,2020-03-25,84,Cases,10.0,62.0
64,Afghanistan,2020-03-26,94,Cases,10.0,72.0
65,Afghanistan,2020-03-27,110,Cases,16.0,86.0
66,Afghanistan,2020-03-28,110,Cases,0.0,86.0
67,Afghanistan,2020-03-29,120,Cases,10.0,80.0
68,Afghanistan,2020-03-30,170,Cases,50.0,130.0
69,Afghanistan,2020-03-31,174,Cases,4.0,100.0
70,Afghanistan,2020-04-01,237,Cases,63.0,153.0
71,Afghanistan,2020-04-02,273,Cases,36.0,179.0
72,Afghanistan,2020-04-03,281,Cases,8.0,171.0
73,Albania,2020-01-22,0,Cases,,
74,Albania,2020-01-23,0,Cases,0.0,
75,Albania,2020-01-24,0,Cases,0.0,
76,Albania,2020-01-25,0,Cases,0.0,
77,Albania,2020-01-26,0,Cases,0.0,
78,Albania,2020-01-27,0,Cases,0.0,
79,Albania,2020-01-28,0,Cases,0.0,
80,Albania,2020-01-29,0,Cases,0.0,0.0
81,Albania,2020-01-30,0,Cases,0.0,0.0
82,Albania,2020-01-31,0,Cases,0.0,0.0
83,Albania,2020-02-01,0,Cases,0.0,0.0
84,Albania,2020-02-02,0,Cases,0.0,0.0
85,Albania,2020-02-03,0,Cases,0.0,0.0
86,Albania,2020-02-04,0,Cases,0.0,0.0
87,Albania,2020-02-05,0,Cases,0.0,0.0
88,Albania,2020-02-06,0,Cases,0.0,0.0
89,Albania,2020-02-07,0,Cases,0.0,0.0
90,Albania,2020-02-08,0,Cases,0.0,0.0
91,Albania,2020-02-09,0,Cases,0.0,0.0
92,Albania,2020-02-10,0,Cases,0.0,0.0
93,Albania,2020-02-11,0,Cases,0.0,0.0
94,Albania,2020-02-12,0,Cases,0.0,0.0
95,Albania,2020-02-13,0,Cases,0.0,0.0
96,Albania,2020-02-14,0,Cases,0.0,0.0
97,Albania,2020-02-15,0,Cases,0.0,0.0
98,Albania,2020-02-16,0,Cases,0.0,0.0
99,Albania,2020-02-17,0,Cases,0.0,0.0
100,Albania,2020-02-18,0,Cases,0.0,0.0
101,Albania,2020-02-19,0,Cases,0.0,0.0
102,Albania,2020-02-20,0,Cases,0.0,0.0
103,Albania,2020-02-21,0,Cases,0.0,0.0
104,Albania,2020-02-22,0,Cases,0.0,0.0
105,Albania,2020-02-23,0,Cases,0.0,0.0
106,Albania,2020-02-24,0,Cases,0.0,0.0
107,Albania,2020-02-25,0,Cases,0.0,0.0
108,Albania,2020-02-26,0,Cases,0.0,0.0
109,Albania,2020-02-27,0,Cases,0.0,0.0
110,Albania,2020-02-28,0,Cases,0.0,0.0
111,Albania,2020-02-29,0,Cases,0.0,0.0
112,Albania,2020-03-01,0,Cases,0.0,0.0
113,Albania,2020-03-02,0,Cases,0.0,0.0
114,Albania,2020-03-03,0,Cases,0.0,0.0
115,Albania,2020-03-04,0,Cases,0.0,0.0
116,Albania,2020-03-05,0,Cases,0.0,0.0
117,Albania,2020-03-06,0,Cases,0.0,0.0
118,Albania,2020-03-07,0,Cases,0.0,0.0
119,Albania,2020-03-08,0,Cases,0.0,0.0
120,Albania,2020-03-09,2,Cases,2.0,2.0
121,Albania,2020-03-10,10,Cases,8.0,10.0
122,Albania,2020-03-11,12,Cases,2.0,12.0
123,Albania,2020-03-12,23,Cases,11.0,23.0
124,Albania,2020-03-13,33,Cases,10.0,33.0
125,Albania,2020-03-14,38,Cases,5.0,38.0
126,Albania,2020-03-15,42,Cases,4.0,42.0
127,Albania,2020-03-16,51,Cases,9.0,49.0
128,Albania,2020-03-17,55,Cases,4.0,45.0
129,Albania,2020-03-18,59,Cases,4.0,47.0
130,Albania,2020-03-19,64,Cases,5.0,41.0
131,Albania,2020-03-20,70,Cases,6.0,37.0
132,Albania,2020-03-21,76,Cases,6.0,38.0
133,Albania,2020-03-22,89,Cases,13.0,47.0
134,Albania,2020-03-23,104,Cases,15.0,53.0
